iter	Passed	Remaining
475	586	645
476	587	644
477	589	643
478	590	642
479	592	641
480	593	640
481	595	639
482	596	638
483	597	637
484	600	637
485	601	636
486	603	635
487	604	634
488	606	633
489	607	632
490	609	631
491	610	630
492	612	629
493	613	628
494	615	627
495	617	627
496	619	627
497	621	626
498	622	624
499	623	623
500	623	621
501	624	619
502	625	618
503	626	616
504	627	614
505	628	613
506	629	612
507	630	610
508	631	609
509	633	608
510	634	607
511	635	605
512	636	604
513	637	602
514	638	601
515	639	599
516	640	598
517	641	597
518	644	597
519	645	595
520	646	594
521	648	593
522	649	592
523	650	591
524	651	589
525	652	588
526	653	586
527	654	585
528	655	584
529	657	583
530	658	581
531	660	580
532	661	579
533	662	578
534	664	577
535	665	575
536	666	574
537	667	572
538	668	571
539	669	570
540	670	568
541	671	567
542	672	565
543	673	564
544	674	563
545	675	561
546	676	560
547	677	558
548	678	557
549	679	555
550	679	554
551	680	552
552	681	550
553	682	549
554	683	547
555	684	546
556	684	544
557	686	543
558	687	542
559	688	540
560	689	539
561	690	538
562	691	536
563	692	535
564	693	533
565	694	532
566	695	530
567	696	529
568	697	528
569	698	526
570	699	525
571	700	524
572	701	522
573	702	521
574	704	520
575	705	519
576	706	517
577	707	516
578	708	514
579	709	513
580	710	512
581	711	510
582	712	509
583	713	508
584	714	506
585	715	505
586	716	504
587	717	502
588	718	501
589	720	500
590	721	499
591	722	497
592	723	496
593	724	495
594	725	493
595	726	492
596	727	491
597	728	489
598	730	488
599	731	487
600	732	486
601	733	484
602	734	483
603	735	482
604	736	481
605	737	479
606	738	478
607	740	477
608	741	475
609	742	474
610	743	473
611	745	472
612	746	471
613	747	469
614	748	468
615	750	467
616	751	466
617	752	465
618	753	464
619	755	462
620	756	461
621	758	460
622	759	459
623	760	458
624	762	457
625	763	456
626	764	454
627	765	453
628	766	452
629	768	451
630	769	449
631	770	448
632	772	447
633	773	446
634	774	445
635	776	444
636	777	443
637	778	441
638	779	440
639	780	439
640	781	437
641	783	436
642	784	435
643	785	434
644	786	432
645	787	431
646	788	430
647	790	429
648	792	428
649	793	427
650	794	425
651	795	424
652	796	423
653	797	422
654	798	420
655	800	419
656	801	418
657	802	417
658	804	416
659	805	415
660	807	413
661	808	412
662	809	411
663	810	410
664	811	408
665	812	407
666	813	406
667	815	405
668	816	403
669	817	402
670	819	401
671	820	400
672	821	399
673	822	397
674	823	396
675	825	395
676	826	394
677	827	392
678	828	391
679	829	390
680	830	389
681	832	388
682	833	386
683	834	385
684	835	384
685	836	383
686	838	381
687	839	380
688	840	379
689	841	377
690	842	376
691	843	375
692	844	374
693	845	372
694	846	371
695	848	370
696	849	369
697	850	367
698	851	366
699	852	365
700	853	364
701	854	362
702	855	361
703	856	360
704	858	359
705	859	357
706	860	356
707	861	355
708	862	353
709	863	352
710	864	351
711	865	350
712	866	348
713	867	347
714	868	346
715	869	345
716	870	343
717	872	342
718	873	341
719	874	339
720	875	338
721	876	337
722	877	336
723	878	334
724	879	333
725	880	332
726	880	330
727	881	329
728	882	328
729	883	326
730	884	325
731	886	324
732	887	323
733	888	321
734	889	320
735	890	319
736	892	318
737	894	317
738	895	316
739	896	314
740	897	313
741	898	312
742	899	310
743	900	309
744	901	308
745	902	307
746	903	306
747	904	304
748	905	303
749	906	302
750	907	300
751	908	299
752	908	298
753	909	296
754	910	295
755	911	294
756	912	292
757	913	291
758	914	290
759	915	289
760	916	287
761	917	286
762	918	285
763	919	284
764	920	282
765	921	281
766	922	280
767	923	278
768	924	277
769	925	276
770	925	275
771	926	273
772	927	272
773	928	271
774	929	269
775	931	268
776	932	267
777	933	266
778	934	265
779	935	263
780	936	262
781	937	261
782	937	259
783	938	258
784	939	257
785	940	256
786	941	254
787	942	253
788	944	252
789	945	251
790	946	250
791	947	248
792	948	247
793	949	246
794	950	245
795	951	243
796	952	242
797	953	241
798	955	240
799	956	239
800	957	237
801	958	236
802	959	235
803	960	234
804	961	232
805	962	231
806	963	230
807	965	229
808	965	228
809	966	226
810	967	225
811	968	224
812	970	223
813	971	221
814	972	220
815	973	219
816	975	218
817	976	217
818	977	216
819	978	214
820	979	213
821	980	212
822	981	211
823	982	209
824	983	208
825	984	207
826	985	206
827	986	205
828	987	203
829	989	202
830	990	201
831	991	200
832	992	198
833	993	197
834	994	196
835	995	195
836	995	193
837	996	192
838	997	191
839	998	190
840	999	189
841	1000	187
842	1001	186
843	1002	185
844	1003	184
845	1004	182
846	1005	181
847	1006	180
848	1007	179
849	1008	177
850	1009	176
851	1010	175
852	1011	174
853	1012	173
854	1013	171
855	1014	170
856	1015	169
857	1016	168
858	1017	166
859	1018	165
860	1019	164
861	1020	163
862	1021	162
863	1022	160
864	1023	159
865	1024	158
866	1025	157
867	1027	156
868	1028	155
869	1029	153
870	1030	152
871	1031	151
872	1033	150
873	1034	149
874	1035	147
875	1036	146
876	1037	145
877	1038	144
878	1039	143
879	1040	141
880	1041	140
881	1042	139
882	1043	138
883	1044	137
884	1045	135
885	1046	134
886	1048	133
887	1049	132
888	1050	131
889	1051	130
890	1053	128
891	1054	127
892	1055	126
893	1056	125
894	1057	124
895	1058	122
896	1059	121
897	1060	120
898	1061	119
899	1063	118
900	1064	116
901	1065	115
902	1066	114
903	1068	113
904	1069	112
905	1070	111
906	1071	109
907	1072	108
908	1073	107
909	1074	106
910	1076	105
911	1077	103
912	1078	102
913	1079	101
914	1080	100
915	1082	99
916	1083	98
917	1084	96
918	1086	95
919	1087	94
920	1088	93
921	1089	92
922	1090	90
923	1091	89
924	1092	88
925	1093	87
926	1093	86
927	1094	84
928	1095	83
929	1096	82
930	1097	81
931	1098	80
932	1099	78
933	1100	77
934	1101	76
935	1102	75
936	1103	74
937	1104	72
938	1105	71
939	1106	70
940	1107	69
941	1108	68
942	1108	67
943	1110	65
944	1111	64
945	1112	63
946	1114	62
947	1115	61
948	1115	59
949	1116	58
950	1117	57
951	1118	56
952	1120	55
953	1121	54
954	1122	52
955	1123	51
956	1125	50
957	1126	49
958	1127	48
959	1128	47
960	1129	45
961	1131	44
962	1132	43
963	1134	42
964	1135	41
965	1136	40
966	1138	38
967	1139	37
968	1140	36
969	1142	35
970	1143	34
971	1144	32
972	1145	31
973	1146	30
974	1148	29
975	1149	28
976	1151	27
977	1152	25
978	1153	24
979	1156	23
980	1157	22
981	1159	21
982	1160	20
983	1163	18
984	1164	17
985	1165	16
986	1166	15
987	1168	14
988	1169	13
989	1170	11
990	1172	10
991	1173	9
992	1174	8
993	1176	7
994	1177	5
995	1178	4
996	1180	3
997	1181	2
998	1182	1
999	1184	0
