iter	Logloss
0	0.6795893723
1	0.6658569584
2	0.6511389259
3	0.6395135895
4	0.6270552224
5	0.6126480723
6	0.6009448292
7	0.5886983484
8	0.5762407256
9	0.5642524037
10	0.5520954907
11	0.5402709217
12	0.5299520725
13	0.520594403
14	0.5102965812
15	0.5015239871
16	0.4916542487
17	0.4824950676
18	0.4730196077
19	0.462108581
20	0.4527571763
21	0.4426815684
22	0.4342041326
23	0.4251098013
24	0.4174372355
25	0.4081364763
26	0.4002501325
27	0.3923989893
28	0.3852140845
29	0.3782116029
30	0.3715434501
31	0.3633590326
32	0.3565887823
33	0.3510825925
34	0.3436884996
35	0.3380613249
36	0.3314612784
37	0.3260821831
38	0.3199412028
39	0.3139450259
40	0.3091351269
41	0.3040802498
42	0.2991575226
43	0.2935250445
44	0.2894596317
45	0.2846109654
46	0.2788678921
47	0.2732603492
48	0.2690711913
49	0.2653333772
50	0.2619297059
51	0.2587018362
52	0.2541677584
53	0.2507484715
54	0.2467733244
55	0.2429349946
56	0.2400091528
57	0.2357696285
58	0.2320346677
59	0.2290703688
60	0.2260947344
61	0.2223853755
62	0.2186835529
63	0.2159093531
64	0.2130661941
65	0.2102824265
66	0.2076779963
67	0.2043125184
68	0.2019142988
69	0.1989474413
70	0.1965904236
71	0.1939332078
72	0.1921882629
73	0.1900264151
74	0.1872265048
75	0.1849291266
76	0.1828018282
77	0.1810868736
78	0.1790466774
79	0.1771665434
80	0.1752101619
81	0.1730664261
82	0.170919837
83	0.1687092665
84	0.166457339
85	0.1649144801
86	0.1625314728
87	0.1611715022
88	0.1592217887
89	0.1576104513
90	0.1558250179
91	0.1542504939
92	0.1523692744
93	0.1508928004
94	0.1490571867
95	0.1474281249
96	0.1459110694
97	0.1446349291
98	0.1430673677
99	0.1417068543
100	0.140273288
101	0.1389625673
102	0.1372003788
103	0.1356805011
104	0.1344598444
105	0.1327979855
106	0.1316406746
107	0.1308154905
108	0.1299147722
109	0.1288491846
110	0.1277514745
111	0.1267994516
112	0.1256047691
113	0.1245661014
114	0.1233330083
115	0.1223770467
116	0.1214788794
117	0.1203208164
118	0.1193847114
119	0.1183167589
120	0.1172350752
121	0.1162812225
122	0.1153418456
123	0.1142165641
124	0.113122692
125	0.1125013925
126	0.1117293117
127	0.1107881825
128	0.1098011529
129	0.1091008845
130	0.1082910522
131	0.1076304738
132	0.1066084916
133	0.1057917122
134	0.1050904592
135	0.1042337805
136	0.103497164
137	0.102741443
138	0.102072646
139	0.1014493694
140	0.1006933228
141	0.100000459
142	0.09931260396
143	0.09858353157
144	0.09784655067
145	0.09699319049
146	0.09611307315
147	0.09558105469
148	0.09491945282
149	0.09442254198
150	0.09393493528
151	0.09351924958
152	0.09298664186
153	0.09248998688
154	0.09203436317
155	0.09141200151
156	0.09074685632
157	0.09020735578
158	0.08968827783
159	0.0892294907
160	0.08876840855
161	0.08823191635
162	0.08749702888
163	0.08703741213
164	0.08644386229
165	0.08579393712
166	0.08533101741
167	0.08465971598
168	0.08412244843
169	0.08376498339
170	0.08326197834
171	0.08276857981
172	0.08224336888
173	0.08174220139
174	0.08136504259
175	0.08078167303
176	0.08038033896
177	0.0799260876
178	0.07947951216
179	0.07907171947
180	0.07864237219
181	0.07817865387
182	0.07777758342
183	0.0773498101
184	0.07679863286
185	0.07644509106
186	0.0760251022
187	0.07551197889
188	0.07513074177
189	0.07469906846
190	0.07418849604
191	0.07377243042
192	0.0734849325
193	0.07309692662
194	0.07265014183
195	0.07232204685
196	0.07190321325
197	0.07156773699
198	0.07130134396
199	0.07096592198
200	0.0704988309
201	0.07004050898
202	0.06969316994
203	0.06926973079
204	0.06891760012
205	0.06863880933
206	0.06839247448
207	0.06811104751
208	0.06787662971
209	0.06764025029
210	0.06737597396
211	0.06702081944
212	0.06666978976
213	0.06632131871
214	0.06602783513
215	0.0657544485
216	0.06538460894
217	0.06512926458
218	0.06491250527
219	0.06467735477
220	0.06440265392
221	0.06414249467
222	0.06385025552
223	0.06361193773
224	0.06334704888
225	0.0631107625
226	0.06287700762
227	0.06260726122
228	0.06231418082
229	0.06209043953
230	0.061872083
231	0.06167626187
232	0.06137674223
233	0.06124513518
234	0.06099562916
235	0.06070175016
236	0.06043493069
237	0.06022320724
238	0.0599949263
239	0.05974410608
240	0.05959951975
241	0.05943145209
242	0.05920043806
243	0.05896414005
244	0.05871778194
245	0.05850757428
246	0.05824422061
247	0.05799025249
248	0.05775312873
249	0.0576443866
250	0.05749902493
251	0.05725321731
252	0.05703433355
253	0.05688586661
254	0.05673086352
255	0.05651302648
256	0.0563564223
257	0.0561451563
258	0.05597533249
259	0.05590239579
260	0.0556633802
261	0.05545557999
262	0.05518284852
263	0.05499070641
264	0.05476304961
265	0.05455496641
266	0.05437366362
267	0.054191349
268	0.05390907691
269	0.05371792336
270	0.05344860341
271	0.05325717073
272	0.05301253389
273	0.05281974436
274	0.05254662134
275	0.05239160274
276	0.0521824263
277	0.05192553512
278	0.05174728719
279	0.05163438533
280	0.05142339846
281	0.05129244269
282	0.05114233591
283	0.05100494478
284	0.05085650498
285	0.05069260481
286	0.05048097052
287	0.05035436444
288	0.05022504078
289	0.05004022955
290	0.04986084574
291	0.04968344681
292	0.04954852515
293	0.04935905798
294	0.04917939504
295	0.04896913699
296	0.04877827032
297	0.04858814022
298	0.04846690341
299	0.04830066557
300	0.04817215989
301	0.04802186702
302	0.0478994982
303	0.04775698592
304	0.04760047478
305	0.04745288012
306	0.04730902261
307	0.04715175939
308	0.04699170493
309	0.04683836107
310	0.04661674034
311	0.04652435024
312	0.04642994423
313	0.04630655196
314	0.04615721664
315	0.04604490017
316	0.04588200406
317	0.04570703584
318	0.04559377345
319	0.0454682606
320	0.04534904744
321	0.04517375357
322	0.04501567236
323	0.04478959727
324	0.04462522801
325	0.04449144612
326	0.04437860241
327	0.04423000754
328	0.0440696507
329	0.04391175557
330	0.04377639584
331	0.0436807803
332	0.04357228628
333	0.04341334444
334	0.04328833557
335	0.04314292349
336	0.04291550706
337	0.04275837565
338	0.04261656893
339	0.04247936776
340	0.04237190495
341	0.04224963304
342	0.04213683198
343	0.04203171071
344	0.04183761473
345	0.04171542811
346	0.04159767647
347	0.0414926211
348	0.04134943815
349	0.04117570272
350	0.04109409379
351	0.04092321939
352	0.04086327747
353	0.04071931141
354	0.0406093171
355	0.04049598105
356	0.0403791792
357	0.04024573846
358	0.04012892111
359	0.03999419329
360	0.03991832578
361	0.03982419115
362	0.03970679229
363	0.03961500307
364	0.03943732502
365	0.03935310705
366	0.03928890073
367	0.03920938911
368	0.03910384915
369	0.03894971057
370	0.03883801437
371	0.03875527731
372	0.03866800448
373	0.03856084793
374	0.03838850037
375	0.03826394895
376	0.03816816283
377	0.03797532291
378	0.03785755964
379	0.03777000768
380	0.03762860027
381	0.03751457028
382	0.03740013712
383	0.03729734964
384	0.03715599262
385	0.03704866937
386	0.03697123179
387	0.03688790546
388	0.0367862306
389	0.03666996374
390	0.0365664707
391	0.0364708474
392	0.03643886442
393	0.03636319851
394	0.03628761012
395	0.0362221555
396	0.03614572587
